prname,date,numconf,numdeaths
Saskatchewan,4/8/2020,271,3
Manitoba,4/8/2020,206,3
Ontario,4/8/2020,5276,174
Quebec,4/8/2020,10031,175
Newfoundland and Labrador,4/8/2020,232,2
New Brunswick,4/8/2020,108,0
Nova Scotia,4/8/2020,342,1
Prince Edward Island,4/8/2020,24,0
Yukon,4/8/2020,7,0
Northwest Territories,4/8/2020,5,0
Nunavut,4/8/2020,0,0
Repatriated travellers,4/8/2020,13,0
Canada,4/8/2020,19274,435
British Columbia,4/9/2020,1370,50
Alberta,4/9/2020,1451,32
Saskatchewan,4/9/2020,278,3
Manitoba,4/9/2020,207,3
Ontario,4/9/2020,5759,200
Quebec,4/9/2020,10912,216
Newfoundland and Labrador,4/9/2020,236,3
New Brunswick,4/9/2020,111,0
Nova Scotia,4/9/2020,373,2
Prince Edward Island,4/9/2020,25,0
Yukon,4/9/2020,8,0
Northwest Territories,4/9/2020,5,0
Nunavut,4/9/2020,0,0
Repatriated travellers,4/9/2020,13,0
Canada,4/9/2020,20748,509
British Columbia,4/10/2020,1410,55
Alberta,4/10/2020,1500,39
Saskatchewan,4/10/2020,285,3
Manitoba,4/10/2020,215,4
Ontario,4/10/2020,6237,222
Quebec,4/10/2020,11677,241
Newfoundland and Labrador,4/10/2020,239,3
New Brunswick,4/10/2020,112,0
Nova Scotia,4/10/2020,407,2
Prince Edward Island,4/10/2020,25,0
Yukon,4/10/2020,8,0
Northwest Territories,4/10/2020,5,0
Nunavut,4/10/2020,0,0
Repatriated travellers,4/10/2020,13,
Canada,4/10/2020,22133,569
British Columbia,4/11/2020,1445,58
Alberta,4/11/2020,1569,40
Saskatchewan,4/11/2020,289,4
Manitoba,4/11/2020,226,4
Ontario,4/11/2020,6648,253
Quebec,4/11/2020,12292,289
Newfoundland and Labrador,4/11/2020,241,3
New Brunswick,4/11/2020,112,0
Nova Scotia,4/11/2020,428,2
Prince Edward Island,4/11/2020,25,0
Yukon,4/11/2020,8,0
Northwest Territories,4/11/2020,5,0
Nunavut,4/11/2020,0,0
Repatriated travellers,4/11/2020,13,
Canada,4/11/2020,23301,653
British Columbia,4/12/2020,1445,58
Alberta,4/12/2020,1651,44
Saskatchewan,4/12/2020,296,4
Manitoba,4/12/2020,226,4
Ontario,4/12/2020,7049,274
Quebec,4/12/2020,12846,328
Newfoundland and Labrador,4/12/2020,242,3
New Brunswick,4/12/2020,114,0
Nova Scotia,4/12/2020,445,2
Prince Edward Island,4/12/2020,25,0
Yukon,4/12/2020,8,0
Northwest Territories,4/12/2020,5,0
Nunavut,4/12/2020,0,0
Repatriated travellers,4/12/2020,13,
Canada,4/12/2020,24365,717
British Columbia,4/13/2020,1490,69
Alberta,4/13/2020,1732,46
Saskatchewan,4/13/2020,300,4
Manitoba,4/13/2020,229,4
Ontario,4/13/2020,7470,291
Quebec,4/13/2020,13557,360
Newfoundland and Labrador,4/13/2020,244,3
